Question,Answer
What causes glaucoma?,"Doctors don’t clearly understand why glaucoma happens. Glaucoma refers to a group of conditions that damage the optic nerve that links theeyeto the brain. The optic nerve carries signals from the back of your eye to the brain and allows you to see. Nerve damage can result from problems with the fluid in the eye. Sometimes, the pressure of the fluid inside the eye rises, and the fluid presses hard on the optic nerve, damaging it. Glaucoma can sometimes occur even when the fluid pressure in the eye is normal."
Who is at risk of glaucoma?,You are at higher risk of developing glaucoma if you: have a close relative with glaucoma have high eye pressure are over 50 areshort-sightedorlong-sighted use (or have used) cortisone (steroid) medications for long periods havediabetesor havehighorlow blood pressure havemigraine headaches have had an eye operation or eye injury
How is glaucoma diagnosed?,"An optometrist orophthalmologist(specialist eye doctor) can detect it early on if you have regulareye examinationsevery 1 to 2 years. They will look at the nerve fibres and the structure of the eye drainage network, test the field of vision and measure the eye pressure. This examination will take 20 to 45 minutes. If you are of African or Asian descent, these regular examinations should start at age 40. Otherwise, you should start them at age 50. FIND A HEALTH SERVICE— TheService Findercan help you find doctors, pharmacies, hospitals and other health services. ASK YOUR DOCTOR— Preparing for an appointment? Use..."
How is glaucoma treated?,"If you have acute angle-closure glaucoma, you need prompt treatment to reduce the pressure. This may be done with eye drops or an intravenous medicine. You may also need surgery. Nerve cells damaged by glaucoma can’t be repaired. Treatment is designed to prevent or slow further damage, mainly by reducing the pressure in the eye. This may involve: eye drops or oral medicine laser surgeryor other surgery to open or create a new drainage channel Glaucoma surgeryis usually an outpatient or day-surgery procedure. You might have alocal anaesthetic(such as eye drops) or ageneral anaesthetic. Your surgeon will explain to you..."
Can glaucoma be prevented?,"Unfortunately, while it can be managed, glaucoma can’t be prevented."
What is diabetic retinopathy?,"The retina is a layer of tissue inside the back of your eye. If you havediabetes, the tiny blood vessels in your retina can slowly become damaged. This causes problems with your sight."
What are the symptoms of diabetic retinopathy?,"You might not notice any symptoms in the early stages. Therefore, it is important to get youreyes checked regularlyby an optometrist if you have diabetes. If you have diabetic retinopathy, you might: find that your vision fluctuates (gets better and worse) have blurred or distorted vision have patchy vision that can’t be corrected with prescription glasses become sensitive to light or glare haveeye floaters(moving specks) in your vision find it more difficult to read, watch television or drive"
What causes diabetic retinopathy?,"Diabetic retinopathy is acomplication of diabetes. Diabetes can cause the tiny blood vessels in the back of your eye to swell and bleed. This process can slowly damage your retina. Usually, both eyes are affected. The longer you have diabetes, the more likely it is that you will get diabetic retinopathy. Your chance of getting diabetic retinopathy also increases if: your diabetes and blood sugar levels are not well controlled you havehigh blood pressure you havehigh cholesterol"
How is diabetic retinopathy diagnosed?,"Diabetic retinopathy is diagnosed by an eye test. At the eye test the optometrist will examine your eyes. They may use eye drops to help to see the back of your eye. They may take a photo of the back of your eye. If you have diabetes, you should have your eyes checked when your diabetes is first diagnosed and then at least once every 2 years. If you experience any changes to your vision, see an optometrist orophthalmologistas soon as you can."
How is diabetic retinopathy treated?,"Treatment for diabetic retinopathy can slow or prevent vision loss. It is best to start treatment as soon as you can. Keeping your blood sugar and blood pressure under control can help. Eating ahealthy dietand getting regular exercise are useful as part of managing your diabetes. Other treatments include: laser treatment to seal leaking blood vessels and stop the growth of abnormal blood vessels surgery, such as vitrectomy medicines that can reduce swelling in the retina"
Can diabetic retinopathy be prevented?,"You can reduce your chance of getting of diabetic retinopathy by : keeping your blood glucose levels, blood pressure and cholesterol levels in a healthy range not smoking having regular eye checks with your optometrist so that any early changes can be found and treated"
Does your child need to see a health professional about lazy eye symptoms?,"Yes. If you notice that your child has any of the signs above or you’re worried about your child’s vision, start by seeing yourGPorchild and family health nurse. They can refer your child to anoptometristorophthalmologistif your child needs more tests and checks."
What Is the Antineutrophil Cytoplasmic Antibodies (ANCA) Test?,An antineutrophil cytoplasmic antibodies test is a blood test that helps distinguish ulcerative colitis from Crohn's.
What Is Glaucoma?,"Glaucoma is a condition that damages your eye's optic nerve, and it gets worse over time. It's often linked to a buildup of pressure inside your eye. Glaucoma tends to run in families. You usually don’t get it until later in life. The increased pressure in your eye, called intraocular pressure, can damage your optic nerve that sends images to your brain. If the damage worsens, glaucoma can cause permanent vision loss or even total blindness within a few years. What glaucoma looks like within the eye. Most people with glaucoma have no early symptoms or pain. Visit your eye......"
Is Glaucoma Hereditary?,"It can be. Your risk is higher if you have a first-degree relative with the condition. That means you could get glaucoma if your mother, father, or full sister or brother has it. Scientists have identified mutations, or changes, in certain genes that can lead to glaucoma."
